census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2004,Melbourne (CBD),Mining,Small business,22,137,FALSE
2004,Melbourne (CBD),Other Services,Medium business,34,1811,FALSE
2004,Melbourne (CBD),Other Services,Small business,510,2260,FALSE
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,221,11791,FALSE
2004,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1131,6633,FALSE
2004,Melbourne (CBD),Public Administration and Safety,Medium business,74,5471,FALSE
2004,Melbourne (CBD),Public Administration and Safety,Small business,63,546,FALSE
2004,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,21,1074,FALSE
2004,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,120,649,FALSE
2004,Melbourne (CBD),Retail Trade,Medium business,64,3065,FALSE
2004,Melbourne (CBD),Retail Trade,Small business,1319,6046,FALSE
2004,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,23,1461,FALSE
2004,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,78,567,FALSE
2004,Melbourne (CBD),Wholesale Trade,Medium business,7,299,FALSE
2004,Melbourne (CBD),Wholesale Trade,Small business,122,533,FALSE
2005,Melbourne (CBD),Accommodation and Food Services,Medium business,166,7186,FALSE
2005,Melbourne (CBD),Accommodation and Food Services,Small business,985,7193,FALSE
2005,Melbourne (CBD),Administrative and Support Services,Medium business,81,3680,FALSE
2005,Melbourne (CBD),Administrative and Support Services,Small business,407,2412,FALSE
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,2,NA,TRUE
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,7,13,FALSE
2005,Melbourne (CBD),Arts and Recreation Services,Medium business,19,1271,FALSE
2005,Melbourne (CBD),Arts and Recreation Services,Small business,71,367,FALSE
2005,Melbourne (CBD),Construction,Medium business,10,585,FALSE
2005,Melbourne (CBD),Construction,Small business,57,374,FALSE
2005,Melbourne (CBD),Education and Training,Medium business,48,2838,FALSE
2005,Melbourne (CBD),Education and Training,Small business,122,821,FALSE
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,364,FALSE
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,11,90,FALSE
2005,Melbourne (CBD),Financial and Insurance Services,Medium business,139,7582,FALSE
2005,Melbourne (CBD),Financial and Insurance Services,Small business,449,3057,FALSE
2005,Melbourne (CBD),Health Care and Social Assistance,Medium business,21,813,FALSE
2005,Melbourne (CBD),Health Care and Social Assistance,Small business,331,1634,FALSE
2005,Melbourne (CBD),Information Media and Telecommunications,Medium business,46,2769,FALSE
2005,Melbourne (CBD),Information Media and Telecommunications,Small business,152,997,FALSE
2005,Melbourne (CBD),Manufacturing,Medium business,9,360,FALSE
2005,Melbourne (CBD),Manufacturing,Small business,261,813,FALSE
2005,Melbourne (CBD),Mining,Medium business,4,335,FALSE
2005,Melbourne (CBD),Mining,Small business,30,163,FALSE
2005,Melbourne (CBD),Other Services,Medium business,37,1904,FALSE
2005,Melbourne (CBD),Other Services,Small business,529,2223,FALSE
2005,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,213,11234,FALSE
2005,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1211,7184,FALSE
2005,Melbourne (CBD),Public Administration and Safety,Medium business,77,5560,FALSE
2005,Melbourne (CBD),Public Administration and Safety,Small business,63,486,FALSE
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,21,1048,FALSE
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,124,698,FALSE
2005,Melbourne (CBD),Retail Trade,Medium business,71,3631,FALSE
2005,Melbourne (CBD),Retail Trade,Small business,1468,7063,FALSE
2005,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,25,1510,FALSE
2005,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,76,549,FALSE
2005,Melbourne (CBD),Wholesale Trade,Medium business,7,305,FALSE
2005,Melbourne (CBD),Wholesale Trade,Small business,128,517,FALSE
2006,Melbourne (CBD),Accommodation and Food Services,Medium business,175,7764,FALSE
